epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,150.045,4.17571,3.94241,2.87335,0.02388,0.07055,0.02221,0.00672,3.25509,2.56019,1.80277,0.000237706,0.000237706,0.000237706,,,,,
2,281.378,3.05772,2.59036,1.60201,0.25592,0.12075,0.05342,0.02038,2.69324,2.14874,1.35405,0.000466287,0.000466287,0.000466287,,,,,
3,416.514,2.66793,2.2713,1.32409,0.17184,0.11789,0.06915,0.02859,2.48527,2.04099,1.19915,0.000685443,0.000685443,0.000685443,,,,,
4,548.312,2.46225,2.09275,1.21907,0.22298,0.12575,0.09052,0.03976,2.26792,1.82583,1.16569,0.000671588,0.000671588,0.000671588,,,,,
5,674.735,2.3471,1.97303,1.16022,0.2457,0.13599,0.10123,0.04805,2.14466,1.73337,1.10723,0.000657451,0.000657451,0.000657451,,,,,
6,881.767,2.2956,1.90949,1.12815,0.16528,0.16095,0.11692,0.05534,2.09941,1.65426,1.08325,0.000643314,0.000643314,0.000643314,,,,,
7,1009.62,2.22155,1.84083,1.1046,0.23114,0.167,0.12275,0.05974,2.06643,1.66304,1.0658,0.000629177,0.000629177,0.000629177,,,,,
8,1139.56,2.18253,1.79466,1.08991,0.19182,0.16402,0.12915,0.06279,2.02553,1.58006,1.05207,0.00061504,0.00061504,0.00061504,,,,,
9,1271.88,2.12983,1.73979,1.07468,0.20074,0.17637,0.1352,0.06658,2.00837,1.56489,1.03163,0.000600902,0.000600902,0.000600902,,,,,
10,1404.06,2.08983,1.70193,1.06108,0.21301,0.18473,0.14365,0.07129,1.95973,1.52507,1.03125,0.000586765,0.000586765,0.000586765,,,,,
11,1707.16,2.07346,1.67363,1.04901,0.21623,0.18291,0.14441,0.07251,1.94404,1.53463,1.02145,0.000572628,0.000572628,0.000572628,,,,,
12,1839.61,2.05517,1.65148,1.04425,0.22566,0.19149,0.15191,0.07685,1.92555,1.4873,1.01619,0.000558491,0.000558491,0.000558491,,,,,
13,1973.0,2.03476,1.63153,1.03793,0.24569,0.19629,0.15689,0.07931,1.89542,1.47185,1.01208,0.000544354,0.000544354,0.000544354,,,,,
14,2152.2,2.00056,1.60346,1.03182,0.23635,0.20052,0.16383,0.08325,1.87931,1.43943,1.00175,0.000530216,0.000530216,0.000530216,,,,,
15,2298.57,1.9994,1.5876,1.024,0.25501,0.20336,0.1694,0.0877,1.84289,1.40611,0.9942,0.000516079,0.000516079,0.000516079,,,,,
16,2435.03,1.97105,1.56344,1.02151,0.27273,0.20333,0.17273,0.08783,1.84063,1.40848,0.99634,0.000501942,0.000501942,0.000501942,,,,,
17,2579.6,1.96279,1.55596,1.01689,0.26002,0.20183,0.17218,0.08831,1.85172,1.40429,0.9927,0.000487805,0.000487805,0.000487805,,,,,
18,133.305,1.95191,1.53591,1.01292,0.26145,0.21793,0.18546,0.09518,1.81648,1.37579,0.98851,0.000473668,0.000473668,0.000473668,,,,,
19,257.043,1.92297,1.51105,1.0091,0.26255,0.20326,0.17832,0.09071,1.82427,1.38555,0.98803,0.00045953,0.00045953,0.00045953,,,,,
20,385.169,1.91703,1.49962,1.00741,0.28896,0.21772,0.19027,0.09731,1.79174,1.36054,0.98273,0.000445393,0.000445393,0.000445393,,,,,
21,510.312,1.9021,1.49224,1.00311,0.27451,0.20861,0.18899,0.098,1.78652,1.35317,0.98323,0.000431256,0.000431256,0.000431256,,,,,
22,633.911,1.89558,1.4797,0.99998,0.28337,0.21913,0.19025,0.09943,1.78242,1.34256,0.97667,0.000417119,0.000417119,0.000417119,,,,,
23,928.277,1.90706,1.47843,0.99885,0.29878,0.22341,0.19739,0.10199,1.7644,1.32889,0.97496,0.000402982,0.000402982,0.000402982,,,,,
24,1053.03,1.88524,1.46637,0.99594,0.28072,0.22328,0.19644,0.1023,1.76356,1.32551,0.97528,0.000388844,0.000388844,0.000388844,,,,,
25,1178.43,1.87748,1.45568,0.99489,0.2975,0.22537,0.19879,0.10389,1.75498,1.31767,0.97023,0.000374707,0.000374707,0.000374707,,,,,
26,1303.1,1.86194,1.43974,0.99299,0.30198,0.23018,0.20185,0.10472,1.74912,1.3142,0.96802,0.00036057,0.00036057,0.00036057,,,,,
