epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,829.584,1.97242,2.442,1.02858,0.3039,0.17021,0.12613,0.06491,1.79846,1.57472,0.97448,0.000237412,0.000237412,0.000237412
2,1015.06,1.81138,1.56416,0.97716,0.2655,0.21426,0.18026,0.09954,1.73155,1.40406,0.95724,0.000465999,0.000465999,0.000465999
3,1266.24,1.76991,1.45896,0.96639,0.27438,0.24572,0.20538,0.11178,1.68458,1.35698,0.95545,0.000685161,0.000685161,0.000685161
4,2179.28,1.73835,1.40245,0.95979,0.28662,0.24408,0.2111,0.11492,1.66918,1.29618,0.94737,0.000671588,0.000671588,0.000671588
5,3047.13,1.70769,1.35207,0.95456,0.30163,0.23972,0.20939,0.11528,1.67892,1.33706,0.94335,0.000657451,0.000657451,0.000657451
6,3381.18,1.70297,1.31559,0.94885,0.33436,0.25725,0.23916,0.13244,1.62746,1.24788,0.93586,0.000643314,0.000643314,0.000643314
7,4234.53,1.68255,1.2885,0.94497,0.32896,0.25991,0.23637,0.12898,1.62104,1.26001,0.94046,0.000629177,0.000629177,0.000629177
8,4673.2,1.66748,1.26474,0.94114,0.34532,0.26564,0.24493,0.13523,1.61264,1.23007,0.93377,0.00061504,0.00061504,0.00061504
9,5979.98,1.6517,1.24822,0.93779,0.35904,0.28142,0.2627,0.14491,1.58836,1.18596,0.93002,0.000600902,0.000600902,0.000600902
10,6295.19,1.65101,1.2344,0.93333,0.35351,0.26898,0.25526,0.14189,1.58919,1.19814,0.93077,0.000586765,0.000586765,0.000586765
11,7464.52,1.62585,1.20512,0.93241,0.35557,0.28057,0.26011,0.14356,1.58409,1.18325,0.9307,0.000572628,0.000572628,0.000572628
12,8437.25,1.62714,1.20997,0.93099,0.35771,0.28388,0.26513,0.14696,1.57985,1.17935,0.92377,0.000558491,0.000558491,0.000558491
13,8768.42,1.61531,1.18909,0.92982,0.36401,0.28397,0.26402,0.14715,1.56874,1.18337,0.9223,0.000544354,0.000544354,0.000544354
14,9415.76,1.60708,1.18624,0.9263,0.36383,0.2896,0.27083,0.15025,1.56999,1.16848,0.92527,0.000530216,0.000530216,0.000530216
15,9656.85,1.61689,1.17897,0.92448,0.35475,0.30101,0.27851,0.15491,1.54901,1.14732,0.92273,0.000516079,0.000516079,0.000516079
16,9913.49,1.61049,1.16999,0.92591,0.37259,0.30099,0.28417,0.15927,1.54109,1.13543,0.91745,0.000501942,0.000501942,0.000501942
17,10349.9,1.5972,1.15939,0.92132,0.37535,0.29747,0.28417,0.1586,1.56164,1.13744,0.92148,0.000487805,0.000487805,0.000487805
18,11970.5,1.59302,1.15193,0.92151,0.37804,0.2911,0.28398,0.15952,1.54935,1.13905,0.92274,0.000473668,0.000473668,0.000473668
19,12329.4,1.57989,1.14401,0.92163,0.37919,0.28405,0.27771,0.15485,1.5579,1.14559,0.91848,0.00045953,0.00045953,0.00045953
20,12510.7,1.57665,1.1332,0.91901,0.39251,0.29994,0.28967,0.16213,1.5364,1.12944,0.91462,0.000445393,0.000445393,0.000445393
21,12793.7,1.57303,1.12929,0.917,0.39336,0.3071,0.29222,0.16377,1.52161,1.11519,0.9155,0.000431256,0.000431256,0.000431256
22,14592.5,1.56536,1.12327,0.91608,0.39851,0.30652,0.29597,0.16588,1.52412,1.10762,0.91768,0.000417119,0.000417119,0.000417119
23,15507.1,1.55835,1.11443,0.91668,0.395,0.3088,0.29739,0.16588,1.5226,1.10586,0.91345,0.000402982,0.000402982,0.000402982
24,15781.2,1.55325,1.10813,0.91399,0.40481,0.30479,0.29915,0.16987,1.51484,1.10031,0.91334,0.000388844,0.000388844,0.000388844
25,16023.4,1.54871,1.10384,0.91331,0.40768,0.30192,0.29839,0.17036,1.51208,1.10091,0.9136,0.000374707,0.000374707,0.000374707
26,17128.1,1.55835,1.10367,0.91424,0.42563,0.30854,0.3042,0.17328,1.51629,1.09372,0.90976,0.00036057,0.00036057,0.00036057
27,17554,1.54843,1.09905,0.90923,0.4079,0.31401,0.30706,0.17284,1.51166,1.09055,0.91099,0.000346433,0.000346433,0.000346433
28,17804.2,1.54621,1.08888,0.90822,0.40516,0.31301,0.30536,0.17308,1.50488,1.08251,0.91102,0.000332296,0.000332296,0.000332296
29,18440.2,1.54342,1.08683,0.90821,0.42848,0.30918,0.31263,0.17894,1.49806,1.08079,0.90798,0.000318158,0.000318158,0.000318158
30,18866.9,1.54229,1.08018,0.90821,0.41234,0.30813,0.30504,0.17171,1.49864,1.08028,0.90967,0.000304021,0.000304021,0.000304021
31,19049.2,1.53184,1.07344,0.9082,0.41507,0.31845,0.30898,0.17503,1.49669,1.07673,0.90855,0.000289884,0.000289884,0.000289884
32,20301.7,1.53783,1.0708,0.90644,0.40797,0.31652,0.3128,0.17677,1.50006,1.0755,0.90818,0.000275747,0.000275747,0.000275747
33,20813.6,1.52926,1.07066,0.90662,0.42429,0.31193,0.31475,0.17861,1.49872,1.06748,0.90852,0.00026161,0.00026161,0.00026161
34,21034.4,1.52899,1.06765,0.90464,0.41617,0.31601,0.31379,0.17648,1.49085,1.06667,0.90573,0.000247472,0.000247472,0.000247472
35,21275.3,1.52489,1.05788,0.90372,0.4161,0.31279,0.31323,0.17758,1.49119,1.06826,0.90464,0.000233335,0.000233335,0.000233335
36,21799.4,1.51176,1.04876,0.9038,0.42122,0.31819,0.31612,0.17971,1.48498,1.06026,0.90435,0.000219198,0.000219198,0.000219198
37,22013.3,1.51116,1.0463,0.90244,0.40969,0.31305,0.31227,0.17746,1.48491,1.06297,0.9045,0.000205061,0.000205061,0.000205061
38,22799.7,1.51644,1.04733,0.90151,0.43258,0.31352,0.31649,0.17985,1.48735,1.06021,0.90356,0.000190924,0.000190924,0.000190924
39,23004.9,1.5095,1.03751,0.89965,0.42589,0.31473,0.31673,0.17984,1.48057,1.06268,0.90333,0.000176786,0.000176786,0.000176786
40,24031.7,1.50378,1.03828,0.90012,0.42404,0.31847,0.31728,0.18019,1.47792,1.05934,0.90316,0.000162649,0.000162649,0.000162649
41,24284.9,1.45515,1.0108,0.90409,0.41252,0.31999,0.31304,0.17744,1.48482,1.06424,0.90312,0.000148512,0.000148512,0.000148512
42,24523.8,1.44189,0.99279,0.90002,0.41328,0.3238,0.3168,0.18064,1.48128,1.05962,0.90274,0.000134375,0.000134375,0.000134375
43,24707.9,1.43741,0.98826,0.90124,0.42395,0.32288,0.31789,0.18093,1.48147,1.05859,0.90299,0.000120238,0.000120238,0.000120238
44,24935.2,1.43052,0.98053,0.8975,0.41969,0.32368,0.31973,0.18203,1.47874,1.05471,0.90252,0.0001061,0.0001061,0.0001061
45,25256.2,1.42456,0.97253,0.89747,0.41792,0.32798,0.31812,0.18127,1.47762,1.05408,0.90246,9.19632e-05,9.19632e-05,9.19632e-05
46,25401,1.42608,0.97153,0.89748,0.42132,0.32337,0.32025,0.18214,1.47663,1.05265,0.90195,7.7826e-05,7.7826e-05,7.7826e-05
47,26380.4,1.42462,0.96661,0.89592,0.41832,0.32482,0.32126,0.18308,1.47637,1.05,0.90242,6.36888e-05,6.36888e-05,6.36888e-05
48,26899.1,1.41993,0.96237,0.89578,0.42285,0.32306,0.32006,0.18314,1.47382,1.04702,0.901,4.95516e-05,4.95516e-05,4.95516e-05
49,27155.9,1.42081,0.95832,0.89453,0.41894,0.32793,0.32174,0.18381,1.47359,1.04703,0.90093,3.54144e-05,3.54144e-05,3.54144e-05
50,27709.9,1.41166,0.95231,0.89471,0.42097,0.32465,0.32053,0.18305,1.47187,1.0458,0.90065,2.12772e-05,2.12772e-05,2.12772e-05
