epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,148.822,1.7863,1.34306,0.96923,0.32733,0.24488,0.22073,0.11788,1.71167,1.26516,0.96405,0.000237706,0.000237706,0.000237706
2,287.363,1.78668,1.35646,0.97166,0.31352,0.22858,0.20947,0.10763,1.74563,1.30165,0.96887,0.000466287,0.000466287,0.000466287
3,421.33,1.80285,1.36899,0.97547,0.30805,0.24628,0.21457,0.11212,1.72171,1.29684,0.96731,0.000685443,0.000685443,0.000685443
4,551.37,1.79777,1.3738,0.97421,0.32344,0.23997,0.22154,0.11659,1.71712,1.28028,0.96079,0.000671588,0.000671588,0.000671588
5,681.209,1.79224,1.36365,0.97152,0.32989,0.24497,0.22048,0.11645,1.70079,1.26817,0.95683,0.000657451,0.000657451,0.000657451
6,934.228,1.80686,1.36842,0.97126,0.31387,0.24255,0.21771,0.11303,1.71322,1.28279,0.96177,0.000643314,0.000643314,0.000643314
7,1059.76,1.79226,1.36253,0.97085,0.31594,0.24643,0.22248,0.11655,1.70489,1.26779,0.95806,0.000629177,0.000629177,0.000629177
8,1186.7,1.78918,1.3586,0.97068,0.35211,0.24203,0.22161,0.11785,1.69945,1.26588,0.95739,0.00061504,0.00061504,0.00061504
9,1313.29,1.7724,1.34485,0.96814,0.35672,0.24839,0.22997,0.12113,1.68026,1.26224,0.95075,0.000600902,0.000600902,0.000600902
10,1439.85,1.76489,1.33512,0.96601,0.33151,0.25121,0.23017,0.12251,1.68739,1.25186,0.95624,0.000586765,0.000586765,0.000586765
11,1742.73,1.76861,1.32702,0.96249,0.36145,0.24846,0.22966,0.12208,1.67069,1.25212,0.95006,0.000572628,0.000572628,0.000572628
12,1867.53,1.77182,1.33455,0.96496,0.35163,0.24961,0.23411,0.12493,1.6744,1.23801,0.95153,0.000558491,0.000558491,0.000558491
13,1993.45,1.76334,1.32656,0.96303,0.34443,0.25326,0.2356,0.12735,1.66213,1.24227,0.95031,0.000544354,0.000544354,0.000544354
14,2120.66,1.74319,1.31247,0.96086,0.35577,0.25614,0.23487,0.12746,1.66214,1.23364,0.94742,0.000530216,0.000530216,0.000530216
15,2249.14,1.76002,1.31505,0.95809,0.34324,0.25644,0.23796,0.12739,1.65761,1.23055,0.94654,0.000516079,0.000516079,0.000516079
16,2376.49,1.74574,1.30853,0.9588,0.34858,0.25471,0.23783,0.12654,1.66597,1.23303,0.94535,0.000501942,0.000501942,0.000501942
17,2503.89,1.74726,1.31141,0.95701,0.33822,0.25458,0.23897,0.12857,1.65457,1.23426,0.94725,0.000487805,0.000487805,0.000487805
18,2631.59,1.73939,1.29713,0.95569,0.3547,0.26052,0.24341,0.13114,1.6471,1.21685,0.94341,0.000473668,0.000473668,0.000473668
19,2759.53,1.73399,1.30178,0.95677,0.34137,0.25773,0.23947,0.12825,1.64748,1.22481,0.94283,0.00045953,0.00045953,0.00045953
20,2886.01,1.72749,1.29335,0.95365,0.34417,0.26114,0.24579,0.13116,1.64696,1.21706,0.94364,0.000445393,0.000445393,0.000445393
21,3015.57,1.7418,1.298,0.9547,0.3579,0.25854,0.24648,0.13186,1.64549,1.21824,0.94195,0.000431256,0.000431256,0.000431256
22,3143.75,1.72919,1.28164,0.95276,0.35142,0.26476,0.24592,0.13445,1.63379,1.20686,0.94352,0.000417119,0.000417119,0.000417119
23,3272.18,1.71974,1.2802,0.9542,0.36037,0.25686,0.24833,0.13412,1.6275,1.2082,0.94054,0.000402982,0.000402982,0.000402982
24,3403.4,1.72553,1.28319,0.95205,0.35535,0.26972,0.25225,0.13728,1.62602,1.20308,0.93917,0.000388844,0.000388844,0.000388844
25,3531.32,1.70814,1.26784,0.95142,0.35124,0.26742,0.24712,0.13395,1.63369,1.20482,0.93911,0.000374707,0.000374707,0.000374707
26,3666.21,1.71687,1.27532,0.95045,0.35133,0.26625,0.25019,0.13602,1.62592,1.20038,0.94037,0.00036057,0.00036057,0.00036057
27,3796.01,1.72084,1.27235,0.94775,0.37102,0.26691,0.25529,0.13824,1.62663,1.19538,0.93827,0.000346433,0.000346433,0.000346433
28,3924.43,1.70847,1.26307,0.94625,0.3662,0.26817,0.25169,0.13607,1.62219,1.19644,0.93827,0.000332296,0.000332296,0.000332296
29,4052.79,1.69586,1.25187,0.94526,0.35514,0.27428,0.25536,0.13896,1.62592,1.19185,0.9377,0.000318158,0.000318158,0.000318158
30,4182.18,1.71055,1.26079,0.94606,0.36784,0.26999,0.25887,0.13965,1.61599,1.19066,0.9386,0.000304021,0.000304021,0.000304021
31,4327.64,1.70021,1.25757,0.94643,0.36364,0.27196,0.25338,0.13817,1.61684,1.1893,0.93593,0.000289884,0.000289884,0.000289884
32,4459.67,1.7089,1.25442,0.94452,0.35912,0.27102,0.25559,0.13868,1.61339,1.18708,0.93633,0.000275747,0.000275747,0.000275747
33,4588.01,1.69906,1.24516,0.94509,0.37441,0.27146,0.25847,0.13997,1.60886,1.18224,0.93332,0.00026161,0.00026161,0.00026161
34,4722.48,1.70699,1.24738,0.94272,0.37154,0.27039,0.25734,0.14095,1.60713,1.18139,0.93424,0.000247472,0.000247472,0.000247472
35,4850.81,1.69584,1.24335,0.94284,0.37801,0.27392,0.26079,0.14276,1.60811,1.17771,0.93314,0.000233335,0.000233335,0.000233335
36,4978.31,1.6849,1.23863,0.94324,0.37586,0.27303,0.26126,0.14206,1.61089,1.17758,0.93272,0.000219198,0.000219198,0.000219198
37,5107.43,1.67952,1.23459,0.94271,0.37541,0.27189,0.26046,0.14298,1.60063,1.17576,0.9322,0.000205061,0.000205061,0.000205061
