epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,194.963,1.68924,1.23554,0.94228,0.36365,0.27365,0.25778,0.13862,1.64459,1.1962,0.93891,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921,0.00998764,0.00332921
2,348.207,1.71519,1.2588,0.94831,0.36309,0.25895,0.24118,0.13102,1.63804,1.21847,0.93632,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659,0.0197898,0.00659659
3,571.945,1.77023,1.29527,0.95771,0.34166,0.25609,0.23834,0.1277,1.68816,1.2512,0.94944,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796,0.0293939,0.00979796
4,712.921,1.78678,1.3206,0.96345,0.33654,0.25732,0.23722,0.12672,1.67873,1.25355,0.94871,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,854.491,1.77403,1.31501,0.95902,0.33143,0.2558,0.23537,0.12577,1.68849,1.24823,0.94864,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,997.126,1.77698,1.31304,0.95798,0.32678,0.26298,0.23818,0.12738,1.66054,1.24392,0.94762,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1139.88,1.75918,1.30566,0.95651,0.33401,0.27132,0.24763,0.13189,1.64657,1.23137,0.9452,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1282.59,1.7461,1.29773,0.95512,0.36659,0.26076,0.24952,0.13353,1.63234,1.21245,0.93898,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1424.82,1.72948,1.28044,0.95254,0.34343,0.2623,0.24712,0.13276,1.64126,1.22324,0.93944,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1567.26,1.71527,1.26748,0.94972,0.35453,0.27463,0.2548,0.1368,1.63323,1.19819,0.94057,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1790.44,1.71565,1.26155,0.94523,0.35836,0.27707,0.25549,0.13882,1.62162,1.20264,0.9377,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1930.09,1.71461,1.26312,0.94715,0.35476,0.28157,0.26114,0.14207,1.61079,1.19331,0.93526,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2071.69,1.70759,1.25515,0.94507,0.3502,0.28169,0.26327,0.14477,1.59377,1.1795,0.93323,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2213.65,1.68633,1.243,0.94332,0.37444,0.27495,0.26207,0.14304,1.60672,1.17971,0.93434,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2357.2,1.69633,1.24401,0.94025,0.37108,0.27988,0.26968,0.14791,1.58907,1.17322,0.92982,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2499.19,1.67878,1.23138,0.94114,0.37702,0.28888,0.27478,0.15096,1.58448,1.16318,0.92859,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2641.62,1.67971,1.23659,0.93918,0.3615,0.28303,0.2704,0.14799,1.59161,1.1752,0.93438,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2784.31,1.67287,1.22436,0.93818,0.35642,0.29165,0.27368,0.15081,1.57564,1.16501,0.927,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2926.49,1.66379,1.22033,0.93866,0.38369,0.28786,0.27423,0.15056,1.58221,1.16834,0.92698,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3070.8,1.65942,1.2171,0.93622,0.3725,0.29693,0.27518,0.15202,1.5736,1.15576,0.92624,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3215.64,1.66947,1.21807,0.93647,0.375,0.29487,0.28106,0.15498,1.57249,1.15198,0.92863,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3361.58,1.65846,1.20269,0.93449,0.36498,0.29523,0.27833,0.15303,1.56994,1.14799,0.92644,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3503.85,1.64538,1.20128,0.93563,0.37055,0.2959,0.27879,0.15226,1.56232,1.14253,0.92283,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3646.45,1.64839,1.20108,0.93348,0.39009,0.29374,0.28666,0.1592,1.54956,1.14184,0.92096,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3788.52,1.6332,1.18822,0.93333,0.37044,0.29504,0.28115,0.15501,1.55734,1.14791,0.923,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3964.96,1.63993,1.19286,0.93173,0.38111,0.29463,0.28014,0.15539,1.55606,1.14465,0.92378,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4107.44,1.64467,1.189,0.92875,0.37583,0.30339,0.28452,0.15808,1.54708,1.13522,0.91856,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4249.98,1.63354,1.18379,0.92813,0.39959,0.29946,0.28654,0.15896,1.54106,1.13343,0.92015,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4393.22,1.62405,1.17516,0.92823,0.39489,0.29123,0.28684,0.15845,1.54783,1.13321,0.92031,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4536.67,1.63162,1.17771,0.92727,0.39293,0.30655,0.29165,0.16051,1.53508,1.11937,0.91823,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4702.31,1.62362,1.17778,0.92862,0.38849,0.30595,0.28995,0.16034,1.53558,1.12252,0.91886,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4848.47,1.63431,1.17559,0.92637,0.37774,0.30123,0.28813,0.16109,1.53516,1.12912,0.91709,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4991.9,1.62162,1.16692,0.9269,0.40223,0.30439,0.29742,0.16457,1.52628,1.1155,0.91709,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5141.05,1.63098,1.16727,0.92499,0.39891,0.30159,0.29504,0.16483,1.52542,1.11097,0.91624,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5284.48,1.6189,1.16325,0.92495,0.40107,0.30589,0.29668,0.16653,1.52542,1.1093,0.91452,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5428.12,1.60947,1.16005,0.92547,0.40154,0.30895,0.30034,0.1674,1.52433,1.10904,0.91421,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5573.59,1.60335,1.1575,0.92493,0.39904,0.30746,0.29641,0.16546,1.51932,1.10147,0.91385,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5717.61,1.60225,1.15125,0.92321,0.39892,0.30706,0.29784,0.16676,1.51865,1.10757,0.91499,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5862.04,1.60464,1.14904,0.92234,0.40562,0.3088,0.30083,0.16825,1.51756,1.10149,0.91463,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6006.92,1.60004,1.15041,0.92344,0.41402,0.30423,0.29913,0.16754,1.51096,1.10004,0.9126,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6152.32,1.59609,1.14731,0.92266,0.4041,0.31353,0.30259,0.16868,1.50802,1.09322,0.91384,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,6296.83,1.59064,1.1402,0.92067,0.4019,0.30644,0.29979,0.17048,1.51006,1.09278,0.91135,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,6441.96,1.59614,1.14543,0.9212,0.41255,0.30664,0.30361,0.17188,1.50656,1.09599,0.91286,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,6586.55,1.59956,1.14527,0.9188,0.39932,0.30914,0.30377,0.17149,1.51022,1.09436,0.91281,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6729.95,1.58902,1.13547,0.92008,0.39947,0.3139,0.30494,0.17175,1.5049,1.09217,0.91184,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,6877.46,1.57866,1.12733,0.91713,0.41858,0.31244,0.30853,0.17397,1.5001,1.08585,0.90988,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7024.39,1.58363,1.12935,0.91688,0.40458,0.31247,0.30781,0.17289,1.50297,1.08797,0.91137,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,7169.19,1.58221,1.12914,0.91834,0.39636,0.31578,0.30678,0.17174,1.50373,1.08719,0.9107,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,7315.61,1.58817,1.12988,0.91715,0.41438,0.31625,0.31274,0.17554,1.50255,1.08508,0.91151,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,7461.18,1.56858,1.11689,0.91715,0.41083,0.3163,0.30877,0.17355,1.49961,1.08109,0.90921,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,8115.69,1.57205,1.12061,0.91735,0.41712,0.31609,0.31087,0.17594,1.49748,1.08231,0.91013,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,8257.98,1.57704,1.12387,0.91711,0.42298,0.31336,0.31172,0.17605,1.49341,1.08308,0.91032,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,8398.29,1.58119,1.1223,0.91611,0.40898,0.31713,0.3111,0.17529,1.49618,1.08227,0.90847,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,8539.04,1.56747,1.11124,0.91518,0.42322,0.31497,0.31402,0.17702,1.49291,1.0777,0.90923,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,8678.34,1.56679,1.11558,0.91532,0.41493,0.31558,0.30941,0.17427,1.49289,1.07931,0.9082,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,8818.8,1.56364,1.1075,0.9131,0.41414,0.32113,0.31299,0.17666,1.49013,1.07469,0.90859,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,9127.45,1.5702,1.10869,0.91344,0.41317,0.31617,0.31214,0.17736,1.49441,1.07948,0.90863,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,9267.84,1.56267,1.10613,0.91428,0.4078,0.32364,0.31548,0.17806,1.49162,1.07214,0.90802,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,9407.27,1.56119,1.10139,0.9122,0.41011,0.32269,0.31459,0.17778,1.4836,1.07145,0.90699,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,9550.85,1.55688,1.10054,0.91304,0.41515,0.32056,0.31484,0.17797,1.48407,1.07118,0.90637,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,9721.51,1.55161,1.09942,0.91134,0.41218,0.32878,0.3188,0.18042,1.47939,1.06724,0.90679,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,9859.84,1.55314,1.09725,0.91307,0.42359,0.31876,0.31533,0.17966,1.47692,1.06545,0.9061,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,10000.1,1.54736,1.09144,0.91173,0.4114,0.32669,0.31632,0.17911,1.47854,1.06675,0.90606,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,10141.8,1.55726,1.09528,0.91151,0.42661,0.3185,0.31701,0.17984,1.48172,1.0647,0.90604,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,10282.3,1.54974,1.09039,0.911,0.41848,0.32189,0.31814,0.17911,1.48265,1.06339,0.906,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
