epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.541,3.80121,17.9004,2.37431,0.01212,0.03072,0.00856,0.00174,3.21467,2.80837,1.40138,0.001,0.001,0.001
2,402.098,3.04104,2.66174,1.38202,0.21491,0.03839,0.01002,0.00212,2.66798,2.2667,1.24565,0.0009901,0.0009901,0.0009901
3,1109.16,2.73501,2.36168,1.26701,0.02942,0.0469,0.01163,0.00235,2.48515,2.09954,1.18957,0.0009802,0.0009802,0.0009802
4,1286.36,2.5778,2.20363,1.20426,0.12396,0.05079,0.01344,0.0026,2.46545,1.9841,1.18542,0.0009703,0.0009703,0.0009703
5,1462.41,2.49517,2.10715,1.17409,0.02071,0.05628,0.01262,0.00255,2.33581,1.91529,1.11259,0.0009604,0.0009604,0.0009604
6,2344.77,2.44812,2.04819,1.15027,0.02615,0.04935,0.01225,0.0026,2.27081,1.85341,1.09764,0.0009505,0.0009505,0.0009505
7,2501.49,2.39175,1.9913,1.13673,0.02285,0.05731,0.01296,0.00267,2.28236,1.81064,1.1065,0.0009406,0.0009406,0.0009406
8,2658.35,2.35165,1.94461,1.12638,0.02512,0.0547,0.01171,0.00233,2.21169,1.75981,1.09401,0.0009307,0.0009307,0.0009307
9,2816.73,2.31398,1.90613,1.11569,0.0283,0.05505,0.01348,0.00291,2.15851,1.73159,1.06812,0.0009208,0.0009208,0.0009208
10,2980.38,2.27435,1.87263,1.10547,0.02853,0.05287,0.01278,0.00265,2.12853,1.69095,1.06086,0.0009109,0.0009109,0.0009109
11,4460.61,2.26504,1.84384,1.09627,0.02385,0.05149,0.01188,0.00244,2.11195,1.71737,1.06709,0.000901,0.000901,0.000901
12,4637.3,2.25442,1.82661,1.09447,0.02979,0.05783,0.01413,0.00291,2.09357,1.64344,1.05418,0.0008911,0.0008911,0.0008911
13,4788.75,2.23984,1.80952,1.09073,0.02602,0.0528,0.01288,0.0025,2.1207,1.67039,1.07736,0.0008812,0.0008812,0.0008812
14,4949.28,2.20556,1.79174,1.08647,0.13264,0.05911,0.01463,0.00285,2.06571,1.6299,1.04553,0.0008713,0.0008713,0.0008713
15,5113.73,2.2123,1.77802,1.07799,0.03167,0.06061,0.01637,0.00319,2.03699,1.60049,1.04823,0.0008614,0.0008614,0.0008614
16,5272.2,2.19021,1.75567,1.07991,0.03475,0.06671,0.0151,0.00302,2.03477,1.57828,1.05926,0.0008515,0.0008515,0.0008515
17,5652.94,2.18049,1.7516,1.07289,0.03841,0.06261,0.01679,0.00338,2.01294,1.56781,1.02711,0.0008416,0.0008416,0.0008416
18,5812.93,2.15982,1.72512,1.06922,0.03086,0.0636,0.015,0.00299,2.03918,1.58585,1.03705,0.0008317,0.0008317,0.0008317
19,5985.68,2.1543,1.72464,1.06984,0.0351,0.06228,0.01408,0.00287,2.00533,1.5506,1.02951,0.0008218,0.0008218,0.0008218
20,6240.38,2.1483,1.71825,1.06844,0.03756,0.06188,0.01657,0.0033,2.0083,1.56357,1.03307,0.0008119,0.0008119,0.0008119
21,6414.39,2.1503,1.71374,1.06464,0.034,0.06648,0.01472,0.00296,1.984,1.53868,1.03873,0.000802,0.000802,0.000802
22,6575.67,2.13349,1.69339,1.05961,0.03899,0.06486,0.01702,0.00335,1.97223,1.55775,1.03234,0.0007921,0.0007921,0.0007921
23,6766.97,2.12564,1.69627,1.06143,0.04159,0.07326,0.01744,0.00353,1.96656,1.53683,1.02536,0.0007822,0.0007822,0.0007822
24,7006.36,2.12525,1.68433,1.0568,0.04089,0.06724,0.01722,0.0034,1.94232,1.50423,1.02486,0.0007723,0.0007723,0.0007723
25,7179.39,2.10008,1.6568,1.05605,0.03902,0.06121,0.01479,0.003,1.94475,1.51281,1.02106,0.0007624,0.0007624,0.0007624
26,7345.35,2.10803,1.66436,1.05238,0.03417,0.06856,0.01629,0.00332,1.94417,1.50585,1.01661,0.0007525,0.0007525,0.0007525
27,7521.26,2.10373,1.65136,1.04855,0.03464,0.06154,0.01675,0.00343,1.91495,1.48327,1.01042,0.0007426,0.0007426,0.0007426
28,7678.88,2.09958,1.65383,1.04765,0.03592,0.06419,0.01635,0.00333,1.91196,1.45863,1.01661,0.0007327,0.0007327,0.0007327
29,7850.54,2.08333,1.63949,1.04772,0.03805,0.07003,0.01771,0.0035,1.9117,1.47147,1.00863,0.0007228,0.0007228,0.0007228
30,8019.44,2.08597,1.63411,1.04472,0.03609,0.0708,0.01693,0.00348,1.90521,1.45839,1.01089,0.0007129,0.0007129,0.0007129
31,8261.9,2.07947,1.63157,1.04729,0.03712,0.06965,0.01636,0.00341,1.91014,1.4558,1.01584,0.000703,0.000703,0.000703
32,8493.04,2.08311,1.62394,1.04094,0.03869,0.06866,0.01664,0.00332,1.88802,1.44826,1.01353,0.0006931,0.0006931,0.0006931
33,8669.15,2.06969,1.61986,1.04343,0.03617,0.06695,0.01658,0.00327,1.91459,1.47033,1.01177,0.0006832,0.0006832,0.0006832
34,8862.89,2.08843,1.61968,1.04137,0.03955,0.06467,0.01659,0.00333,1.88057,1.43425,1.01002,0.0006733,0.0006733,0.0006733
35,9048.63,2.06866,1.61624,1.04059,0.04318,0.06671,0.01615,0.00331,1.87814,1.45457,1.00783,0.0006634,0.0006634,0.0006634
36,9231.74,2.06205,1.61686,1.04187,0.04027,0.07369,0.01705,0.00335,1.86504,1.42473,0.99799,0.0006535,0.0006535,0.0006535
37,9424.65,2.04861,1.59827,1.04002,0.0385,0.06585,0.01655,0.00328,1.85307,1.42347,0.99983,0.0006436,0.0006436,0.0006436
38,9836.44,2.05059,1.59392,1.04007,0.04063,0.0658,0.01663,0.0034,1.86117,1.41122,1.00091,0.0006337,0.0006337,0.0006337
39,10006.8,2.04587,1.58547,1.03581,0.04354,0.06732,0.01775,0.00358,1.87541,1.42228,1.00677,0.0006238,0.0006238,0.0006238
40,10622.6,2.03676,1.58739,1.03605,0.04552,0.07067,0.01798,0.00356,1.86918,1.40632,0.99827,0.0006139,0.0006139,0.0006139
